"","Sample.name","title","source.name","organism","characteristics..age","characteristics..developmental.stage","characteristics..sex","molecule","description","processed.data.file","raw.file","BioSample","Instrument.Model","Sample.name.new"
"B15_384Bulk_Plate2_S39","B15_384Bulk_Plate2_S39","Tabula Muris Senis (bulk RNA seq)","Marrow_20","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126853","SAMN11854644","Illumina NovaSeq 6000","Marrow_20-m-24"
"B16_384Bulk_Plate1_S40","B16_384Bulk_Plate1_S40","Tabula Muris Senis (bulk RNA seq)","Spleen_5","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126854","SAMN11854645","Illumina NovaSeq 6000","Spleen_5-m-12"
"B16_384Bulk_Plate2_S40","B16_384Bulk_Plate2_S40","Tabula Muris Senis (bulk RNA seq)","GAT_15","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127580","SAMN11854646","Illumina NovaSeq 6000","GAT_15-m-12"
"B17_384Bulk_Plate1_S41","B17_384Bulk_Plate1_S41","Tabula Muris Senis (bulk RNA seq)","MAT_55","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127579","SAMN11854647","Illumina NovaSeq 6000","MAT_55-m-6"
"B17_384Bulk_Plate2_S41","B17_384Bulk_Plate2_S41","Tabula Muris Senis (bulk RNA seq)","Kidney_44","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127582","SAMN11854648","Illumina NovaSeq 6000","Kidney_44-m-1"
"B18_384Bulk_Plate1_S42","B18_384Bulk_Plate1_S42","Tabula Muris Senis (bulk RNA seq)","SCAT_12","Mus musculus C57/BL6","3","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127581","SAMN11854649","Illumina NovaSeq 6000","SCAT_12-f-3"
"B18_384Bulk_Plate2_S42","B18_384Bulk_Plate2_S42","Tabula Muris Senis (bulk RNA seq)","BAT_32","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127576","SAMN11854650","Illumina NovaSeq 6000","BAT_32-f-9"
"B19_384Bulk_Plate1_S43","B19_384Bulk_Plate1_S43","Tabula Muris Senis (bulk RNA seq)","Brain_6","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127575","SAMN11854651","Illumina NovaSeq 6000","Brain_6-m-9"
"B19_384Bulk_Plate2_S43","B19_384Bulk_Plate2_S43","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_27","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127578","SAMN11854652","Illumina NovaSeq 6000","Limb_Muscle_27-m-27"
"B2_384Bulk_Plate1_S26","B2_384Bulk_Plate1_S26","Tabula Muris Senis (bulk RNA seq)","MAT_13","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127577","SAMN11854653","Illumina NovaSeq 6000","MAT_13-f-1"
"B2_384Bulk_Plate2_S26","B2_384Bulk_Plate2_S26","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_48","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127584","SAMN11854654","Illumina NovaSeq 6000","Limb_Muscle_48-m-9"
"B2_384Bulk_Plate3_S26","B2_384Bulk_Plate3_S26","Tabula Muris Senis (bulk RNA seq)","WBC_6","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127583","SAMN11854655","Illumina NovaSeq 6000","WBC_6-m-18"
"B20_384Bulk_Plate1_S44","B20_384Bulk_Plate1_S44","Tabula Muris Senis (bulk RNA seq)","Marrow_54","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127133","SAMN11854656","Illumina NovaSeq 6000","Marrow_54-m-24"
"B20_384Bulk_Plate2_S44","B20_384Bulk_Plate2_S44","Tabula Muris Senis (bulk RNA seq)","Heart_47","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127134","SAMN11854657","Illumina NovaSeq 6000","Heart_47-m-9"
"B21_384Bulk_Plate1_S45","B21_384Bulk_Plate1_S45","Tabula Muris Senis (bulk RNA seq)","Pancreas_53","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127131","SAMN11854658","Illumina NovaSeq 6000","Pancreas_53-m-18"
"B21_384Bulk_Plate2_S45","B21_384Bulk_Plate2_S45","Tabula Muris Senis (bulk RNA seq)","MAT_50","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127132","SAMN11854659","Illumina NovaSeq 6000","MAT_50-f-15"
"B22_384Bulk_Plate1_S46","B22_384Bulk_Plate1_S46","Tabula Muris Senis (bulk RNA seq)","Kidney_52","Mus musculus C57/BL6","6","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127129","SAMN11854660","Illumina NovaSeq 6000","Kidney_52-f-6"
"B22_384Bulk_Plate2_S46","B22_384Bulk_Plate2_S46","Tabula Muris Senis (bulk RNA seq)","Heart_42","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127130","SAMN11854661","Illumina NovaSeq 6000","Heart_42-m-1"
"B23_384Bulk_Plate1_S47","B23_384Bulk_Plate1_S47","Tabula Muris Senis (bulk RNA seq)","SCAT_18","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127434","SAMN11854662","Illumina NovaSeq 6000","SCAT_18-m-24"
"B23_384Bulk_Plate2_S47","B23_384Bulk_Plate2_S47","Tabula Muris Senis (bulk RNA seq)","Kidney_36","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127128","SAMN11854663","Illumina NovaSeq 6000","Kidney_36-f-1"
"B3_384Bulk_Plate1_S27","B3_384Bulk_Plate1_S27","Tabula Muris Senis (bulk RNA seq)","Heart_38","Mus musculus C57/BL6","21","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127136","SAMN11854664","Illumina NovaSeq 6000","Heart_38-f-21"
"B3_384Bulk_Plate2_S27","B3_384Bulk_Plate2_S27","Tabula Muris Senis (bulk RNA seq)","GAT_7","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127137","SAMN11854665","Illumina NovaSeq 6000","GAT_7-m-18"
"B3_384Bulk_Plate3_S27","B3_384Bulk_Plate3_S27","Tabula Muris Senis (bulk RNA seq)","Lung_27","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127378","SAMN11854666","Illumina NovaSeq 6000","Lung_27-m-3"
"B4_384Bulk_Plate1_S28","B4_384Bulk_Plate1_S28","Tabula Muris Senis (bulk RNA seq)","Kidney_26","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127375","SAMN11854667","Illumina NovaSeq 6000","Kidney_26-m-15"
"B4_384Bulk_Plate2_S28","B4_384Bulk_Plate2_S28","Tabula Muris Senis (bulk RNA seq)","Skin_9","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127390","SAMN11854668","Illumina NovaSeq 6000","Skin_9-m-27"
"B4_384Bulk_Plate3_S28","B4_384Bulk_Plate3_S28","Tabula Muris Senis (bulk RNA seq)","MAT_26","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127384","SAMN11854669","Illumina NovaSeq 6000","MAT_26-f-9"
"B5_384Bulk_Plate1_S29","B5_384Bulk_Plate1_S29","Tabula Muris Senis (bulk RNA seq)","GAT_6","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127168","SAMN11854670","Illumina NovaSeq 6000","GAT_6-m-9"
"B5_384Bulk_Plate2_S29","B5_384Bulk_Plate2_S29","Tabula Muris Senis (bulk RNA seq)","Lung_5","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127167","SAMN11854671","Illumina NovaSeq 6000","Lung_5-m-12"
"B5_384Bulk_Plate3_S29","B5_384Bulk_Plate3_S29","Tabula Muris Senis (bulk RNA seq)","BAT_41","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127170","SAMN11854672","Illumina NovaSeq 6000","BAT_41-f-1"
"B6_384Bulk_Plate1_S30","B6_384Bulk_Plate1_S30","Tabula Muris Senis (bulk RNA seq)","Kidney_46","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127169","SAMN11854673","Illumina NovaSeq 6000","Kidney_46-f-1"
"B6_384Bulk_Plate3_S30","B6_384Bulk_Plate3_S30","Tabula Muris Senis (bulk RNA seq)","Liver_39","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127212","SAMN11854674","Illumina NovaSeq 6000","Liver_39-m-12"
"B7_384Bulk_Plate1_S31","B7_384Bulk_Plate1_S31","Tabula Muris Senis (bulk RNA seq)","SCAT_54","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127211","SAMN11854675","Illumina NovaSeq 6000","SCAT_54-m-9"
"B7_384Bulk_Plate2_S31","B7_384Bulk_Plate2_S31","Tabula Muris Senis (bulk RNA seq)","Spleen_48","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126713","SAMN11854676","Illumina NovaSeq 6000","Spleen_48-m-1"
"B7_384Bulk_Plate3_S31","B7_384Bulk_Plate3_S31","Tabula Muris Senis (bulk RNA seq)","Lung_13","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126714","SAMN11854677","Illumina NovaSeq 6000","Lung_13-m-12"
"B8_384Bulk_Plate1_S32","B8_384Bulk_Plate1_S32","Tabula Muris Senis (bulk RNA seq)","Marrow_1","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126711","SAMN11854678","Illumina NovaSeq 6000","Marrow_1-m-27"
"B8_384Bulk_Plate2_S32","B8_384Bulk_Plate2_S32","Tabula Muris Senis (bulk RNA seq)","Liver_32","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126712","SAMN11854679","Illumina NovaSeq 6000","Liver_32-m-21"
"B8_384Bulk_Plate3_S32","B8_384Bulk_Plate3_S32","Tabula Muris Senis (bulk RNA seq)","SCAT_11","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126709","SAMN11854680","Illumina NovaSeq 6000","SCAT_11-m-18"
"B9_384Bulk_Plate1_S33","B9_384Bulk_Plate1_S33","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_56","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126710","SAMN11854681","Illumina NovaSeq 6000","Small_Intestine_56-m-21"
"B9_384Bulk_Plate2_S33","B9_384Bulk_Plate2_S33","Tabula Muris Senis (bulk RNA seq)","Lung_16","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126707","SAMN11854682","Illumina NovaSeq 6000","Lung_16-m-9"
"B9_384Bulk_Plate3_S33","B9_384Bulk_Plate3_S33","Tabula Muris Senis (bulk RNA seq)","Kidney_35","Mus musculus C57/BL6","21","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126708","SAMN11854683","Illumina NovaSeq 6000","Kidney_35-f-21"
"C1_384Bulk_Plate1_S49","C1_384Bulk_Plate1_S49","Tabula Muris Senis (bulk RNA seq)","GAT_11","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126721","SAMN11854684","Illumina NovaSeq 6000","GAT_11-f-12"
"C1_384Bulk_Plate2_S49","C1_384Bulk_Plate2_S49","Tabula Muris Senis (bulk RNA seq)","WBC_3","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126722","SAMN11854685","Illumina NovaSeq 6000","WBC_3-m-27"
"C1_384Bulk_Plate3_S49","C1_384Bulk_Plate3_S49","Tabula Muris Senis (bulk RNA seq)","Heart_55","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126767","SAMN11854686","Illumina NovaSeq 6000","Heart_55-m-12"
"C10_384Bulk_Plate1_S58","C10_384Bulk_Plate1_S58","Tabula Muris Senis (bulk RNA seq)","SCAT_47","Mus musculus C57/BL6","21","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126766","SAMN11854687","Illumina NovaSeq 6000","SCAT_47-f-21"
"C10_384Bulk_Plate2_S58","C10_384Bulk_Plate2_S58","Tabula Muris Senis (bulk RNA seq)","Lung_40","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126765","SAMN11854688","Illumina NovaSeq 6000","Lung_40-m-24"
"C10_384Bulk_Plate3_S58","C10_384Bulk_Plate3_S58","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_17","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126764","SAMN11854689","Illumina NovaSeq 6000","Small_Intestine_17-m-6"
"C11_384Bulk_Plate1_S59","C11_384Bulk_Plate1_S59","Tabula Muris Senis (bulk RNA seq)","WBC_43","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126771","SAMN11854690","Illumina NovaSeq 6000","WBC_43-m-9"
"C11_384Bulk_Plate2_S59","C11_384Bulk_Plate2_S59","Tabula Muris Senis (bulk RNA seq)","Liver_25","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126770","SAMN11854691","Illumina NovaSeq 6000","Liver_25-m-18"
"C11_384Bulk_Plate3_S59","C11_384Bulk_Plate3_S59","Tabula Muris Senis (bulk RNA seq)","Lung_36","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126769","SAMN11854692","Illumina NovaSeq 6000","Lung_36-f-1"
"C12_384Bulk_Plate1_S60","C12_384Bulk_Plate1_S60","Tabula Muris Senis (bulk RNA seq)","MAT_16","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126768","SAMN11854693","Illumina NovaSeq 6000","MAT_16-m-15"
"C12_384Bulk_Plate2_S60","C12_384Bulk_Plate2_S60","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_28","Mus musculus C57/BL6","21","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126761","SAMN11854694","Illumina NovaSeq 6000","Limb_Muscle_28-f-21"
"C12_384Bulk_Plate3_S60","C12_384Bulk_Plate3_S60","Tabula Muris Senis (bulk RNA seq)","Bone_4","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126760","SAMN11854695","Illumina NovaSeq 6000","Bone_4-f-15"
"C13_384Bulk_Plate1_S61","C13_384Bulk_Plate1_S61","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_33","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126915","SAMN11854696","Illumina NovaSeq 6000","Limb_Muscle_33-m-15"
"C13_384Bulk_Plate2_S61","C13_384Bulk_Plate2_S61","Tabula Muris Senis (bulk RNA seq)","Bone_10","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126916","SAMN11854697","Illumina NovaSeq 6000","Bone_10-m-12"
"C13_384Bulk_Plate3_S61","C13_384Bulk_Plate3_S61","Tabula Muris Senis (bulk RNA seq)","SCAT_42","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126917","SAMN11854698","Illumina NovaSeq 6000","SCAT_42-m-27"
"C14_384Bulk_Plate1_S62","C14_384Bulk_Plate1_S62","Tabula Muris Senis (bulk RNA seq)","Liver_26","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126918","SAMN11854699","Illumina NovaSeq 6000","Liver_26-m-18"
"C14_384Bulk_Plate2_S62","C14_384Bulk_Plate2_S62","Tabula Muris Senis (bulk RNA seq)","GAT_17","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126755","SAMN11854700","Illumina NovaSeq 6000","GAT_17-m-3"
"C14_384Bulk_Plate3_S62","C14_384Bulk_Plate3_S62","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_24","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126756","SAMN11854701","Illumina NovaSeq 6000","Limb_Muscle_24-m-15"
"C15_384Bulk_Plate1_S63","C15_384Bulk_Plate1_S63","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_21","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126757","SAMN11854702","Illumina NovaSeq 6000","Limb_Muscle_21-f-1"
"C15_384Bulk_Plate2_S63","C15_384Bulk_Plate2_S63","Tabula Muris Senis (bulk RNA seq)","Liver_6","Mus musculus C57/BL6","3","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126758","SAMN11854703","Illumina NovaSeq 6000","Liver_6-f-3"
"C16_384Bulk_Plate1_S64","C16_384Bulk_Plate1_S64","Tabula Muris Senis (bulk RNA seq)","Kidney_25","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126753","SAMN11854704","Illumina NovaSeq 6000","Kidney_25-m-9"
"C16_384Bulk_Plate2_S64","C16_384Bulk_Plate2_S64","Tabula Muris Senis (bulk RNA seq)","Kidney_53","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126754","SAMN11854705","Illumina NovaSeq 6000","Kidney_53-m-18"
"C17_384Bulk_Plate1_S65","C17_384Bulk_Plate1_S65","Tabula Muris Senis (bulk RNA seq)","WBC_38","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126939","SAMN11854706","Illumina NovaSeq 6000","WBC_38-m-18"
"C17_384Bulk_Plate2_S65","C17_384Bulk_Plate2_S65","Tabula Muris Senis (bulk RNA seq)","Bone_26","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126938","SAMN11854707","Illumina NovaSeq 6000","Bone_26-m-6"
"C18_384Bulk_Plate1_S66","C18_384Bulk_Plate1_S66","Tabula Muris Senis (bulk RNA seq)","WBC_32","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126941","SAMN11854708","Illumina NovaSeq 6000","WBC_32-m-9"
"C18_384Bulk_Plate2_S66","C18_384Bulk_Plate2_S66","Tabula Muris Senis (bulk RNA seq)","Spleen_2","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126940","SAMN11854709","Illumina NovaSeq 6000","Spleen_2-f-9"
"C19_384Bulk_Plate1_S67","C19_384Bulk_Plate1_S67","Tabula Muris Senis (bulk RNA seq)","MAT_40","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126943","SAMN11854710","Illumina NovaSeq 6000","MAT_40-m-24"
"C19_384Bulk_Plate2_S67","C19_384Bulk_Plate2_S67","Tabula Muris Senis (bulk RNA seq)","Heart_15","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126942","SAMN11854711","Illumina NovaSeq 6000","Heart_15-m-27"
"C2_384Bulk_Plate1_S50","C2_384Bulk_Plate1_S50","Tabula Muris Senis (bulk RNA seq)","Bone_38","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126945","SAMN11854712","Illumina NovaSeq 6000","Bone_38-f-15"
"C2_384Bulk_Plate2_S50","C2_384Bulk_Plate2_S50","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_12","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126944","SAMN11854713","Illumina NovaSeq 6000","Limb_Muscle_12-f-9"
"C2_384Bulk_Plate3_S50","C2_384Bulk_Plate3_S50","Tabula Muris Senis (bulk RNA seq)","WBC_7","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126935","SAMN11854714","Illumina NovaSeq 6000","WBC_7-m-12"
"C20_384Bulk_Plate1_S68","C20_384Bulk_Plate1_S68","Tabula Muris Senis (bulk RNA seq)","Bone_8","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126934","SAMN11854715","Illumina NovaSeq 6000","Bone_8-m-24"
"C20_384Bulk_Plate2_S68","C20_384Bulk_Plate2_S68","Tabula Muris Senis (bulk RNA seq)","Bone_16","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127010","SAMN11854716","Illumina NovaSeq 6000","Bone_16-m-1"
"C21_384Bulk_Plate1_S69","C21_384Bulk_Plate1_S69","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_41","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127075","SAMN11854717","Illumina NovaSeq 6000","Small_Intestine_41-m-1"
"C21_384Bulk_Plate2_S69","C21_384Bulk_Plate2_S69","Tabula Muris Senis (bulk RNA seq)","SCAT_56","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127008","SAMN11854718","Illumina NovaSeq 6000","SCAT_56-f-1"
